,prev_pred,regex
32,NLP,"(^(hire|saa|co.|absorb|right|common|main|investor|href=""https://parlamind.com|target|parlamind</a|natch|permanent|position|complete|internship|join|hire|parlamind|solution|foresee|sensible|next|href=""https://www.twyla.ai/|target|freelance|consultant|advise|feasibility|product|aim|enhance|performance|today|date_time_today|permanent|position|dream|big)(?![\w])|(?<=[\W_])(hire|saa|co.|absorb|right|common|main|investor|href=""https://parlamind.com|target|parlamind</a|natch|permanent|position|complete|internship|join|hire|parlamind|solution|foresee|sensible|next|href=""https://www.twyla.ai/|target|freelance|consultant|advise|feasibility|product|aim|enhance|performance|today|date_time_today|permanent|position|dream|big)(?![\w])|(?<=[\W_])(hire|saa|co.|absorb|right|common|main|investor|href=""https://parlamind.com|target|parlamind</a|natch|permanent|position|complete|internship|join|hire|parlamind|solution|foresee|sensible|next|href=""https://www.twyla.ai/|target|freelance|consultant|advise|feasibility|product|aim|enhance|performance|today|date_time_today|permanent|position|dream|big)$|^(hire|saa|co.|absorb|right|common|main|investor|href=""https://parlamind.com|target|parlamind</a|natch|permanent|position|complete|internship|join|hire|parlamind|solution|foresee|sensible|next|href=""https://www.twyla.ai/|target|freelance|consultant|advise|feasibility|product|aim|enhance|performance|today|date_time_today|permanent|position|dream|big)$)"
33,NNs,(^(concern|algorithm|achieve|result|task|condition|apply|ton|datum|solution|image|recognition|problem|field|sizeable|population|portrayal|relationship|man|class|interchangable|king|queen)(?![\w])|(?<=[\W_])(concern|algorithm|achieve|result|task|condition|apply|ton|datum|solution|image|recognition|problem|field|sizeable|population|portrayal|relationship|man|class|interchangable|king|queen)(?![\w])|(?<=[\W_])(concern|algorithm|achieve|result|task|condition|apply|ton|datum|solution|image|recognition|problem|field|sizeable|population|portrayal|relationship|man|class|interchangable|king|queen)$|^(concern|algorithm|achieve|result|task|condition|apply|ton|datum|solution|image|recognition|problem|field|sizeable|population|portrayal|relationship|man|class|interchangable|king|queen)$)
34,general_IT,(^(lesson|kafka|docker|ultimate|expert|subject|lot|drive|fast|pace|learner)(?![\w])|(?<=[\W_])(lesson|kafka|docker|ultimate|expert|subject|lot|drive|fast|pace|learner)(?![\w])|(?<=[\W_])(lesson|kafka|docker|ultimate|expert|subject|lot|drive|fast|pace|learner)$|^(lesson|kafka|docker|ultimate|expert|subject|lot|drive|fast|pace|learner)$)
35,opinion_on_AI,(^(lie|thinking|overrate|course)(?![\w])|(?<=[\W_])(lie|thinking|overrate|course)(?![\w])|(?<=[\W_])(lie|thinking|overrate|course)$|^(lie|thinking|overrate|course)$)
36,Pragmatrix,"(^(pragmatrix|carry|graduate|retreat|attend|fledge|datum|aim|establish|correlation|python|useful|perceive|achieve|result|present|href=""https://github.com|rtapiaoregui|pragmatrix|target|github|page</a|train|model)(?![\w])|(?<=[\W_])(pragmatrix|carry|graduate|retreat|attend|fledge|datum|aim|establish|correlation|python|useful|perceive|achieve|result|present|href=""https://github.com|rtapiaoregui|pragmatrix|target|github|page</a|train|model)(?![\w])|(?<=[\W_])(pragmatrix|carry|graduate|retreat|attend|fledge|datum|aim|establish|correlation|python|useful|perceive|achieve|result|present|href=""https://github.com|rtapiaoregui|pragmatrix|target|github|page</a|train|model)$|^(pragmatrix|carry|graduate|retreat|attend|fledge|datum|aim|establish|correlation|python|useful|perceive|achieve|result|present|href=""https://github.com|rtapiaoregui|pragmatrix|target|github|page</a|train|model)$)"
37,history,(^(seem|curt|colleague|beast|cold|blood|coarse|vein|bleed|heart|guess|discover|least|gain|insight|meagre|mental)(?![\w])|(?<=[\W_])(seem|curt|colleague|beast|cold|blood|coarse|vein|bleed|heart|guess|discover|least|gain|insight|meagre|mental)(?![\w])|(?<=[\W_])(seem|curt|colleague|beast|cold|blood|coarse|vein|bleed|heart|guess|discover|least|gain|insight|meagre|mental)$|^(seem|curt|colleague|beast|cold|blood|coarse|vein|bleed|heart|guess|discover|least|gain|insight|meagre|mental)$)
38,appearance,(^(blond|clue|virtue|create|build|image|dangle|promise|upgrade|future|life)(?![\w])|(?<=[\W_])(blond|clue|virtue|create|build|image|dangle|promise|upgrade|future|life)(?![\w])|(?<=[\W_])(blond|clue|virtue|create|build|image|dangle|promise|upgrade|future|life)$|^(blond|clue|virtue|create|build|image|dangle|promise|upgrade|future|life)$)
39,hobbies,(^(gentle|man|slash|identify|ask|date|coffee|cook|tickle|fancy|hard|hardcore|numb|comparison|palette|earthy|color|hue|gray)(?![\w])|(?<=[\W_])(gentle|man|slash|identify|ask|date|coffee|cook|tickle|fancy|hard|hardcore|numb|comparison|palette|earthy|color|hue|gray)(?![\w])|(?<=[\W_])(gentle|man|slash|identify|ask|date|coffee|cook|tickle|fancy|hard|hardcore|numb|comparison|palette|earthy|color|hue|gray)$|^(gentle|man|slash|identify|ask|date|coffee|cook|tickle|fancy|hard|hardcore|numb|comparison|palette|earthy|color|hue|gray)$)
40,social_status,(^(recognition|community|fellow|hell!–be|honest|rest|shunned|creature|existance|nobody|spare|thought|bad|die|single|doom|create|expose|flaw|incongruencie|choose|peer|base|progeny|choose|everything|precious|cost|seal|particular)(?![\w])|(?<=[\W_])(recognition|community|fellow|hell!–be|honest|rest|shunned|creature|existance|nobody|spare|thought|bad|die|single|doom|create|expose|flaw|incongruencie|choose|peer|base|progeny|choose|everything|precious|cost|seal|particular)(?![\w])|(?<=[\W_])(recognition|community|fellow|hell!–be|honest|rest|shunned|creature|existance|nobody|spare|thought|bad|die|single|doom|create|expose|flaw|incongruencie|choose|peer|base|progeny|choose|everything|precious|cost|seal|particular)$|^(recognition|community|fellow|hell!–be|honest|rest|shunned|creature|existance|nobody|spare|thought|bad|die|single|doom|create|expose|flaw|incongruencie|choose|peer|base|progeny|choose|everything|precious|cost|seal|particular)$)
41,personal_opinion,(^(care|hurt|question|surrounding|scratch|surface)(?![\w])|(?<=[\W_])(care|hurt|question|surrounding|scratch|surface)(?![\w])|(?<=[\W_])(care|hurt|question|surrounding|scratch|surface)$|^(care|hurt|question|surrounding|scratch|surface)$)
42,praise_compliment_insult,(^(blush)(?![\w])|(?<=[\W_])(blush)(?![\w])|(?<=[\W_])(blush)$|^(blush)$)
43,website,(^(agree|background|image|collage|banksy|dali|design|serve|channel|rest)(?![\w])|(?<=[\W_])(agree|background|image|collage|banksy|dali|design|serve|channel|rest)(?![\w])|(?<=[\W_])(agree|background|image|collage|banksy|dali|design|serve|channel|rest)$|^(agree|background|image|collage|banksy|dali|design|serve|channel|rest)$)
44,cookies,(^(cookie|monster|promise|message|exchange|process|personal|info|agree|whomever)(?![\w])|(?<=[\W_])(cookie|monster|promise|message|exchange|process|personal|info|agree|whomever)(?![\w])|(?<=[\W_])(cookie|monster|promise|message|exchange|process|personal|info|agree|whomever)$|^(cookie|monster|promise|message|exchange|process|personal|info|agree|whomever)$)
45,bot_features,(^(conceive|broad|dare|owe|drink|earth|suppose|bet|parent|everything|github|answer|query|address)(?![\w])|(?<=[\W_])(conceive|broad|dare|owe|drink|earth|suppose|bet|parent|everything|github|answer|query|address)(?![\w])|(?<=[\W_])(conceive|broad|dare|owe|drink|earth|suppose|bet|parent|everything|github|answer|query|address)$|^(conceive|broad|dare|owe|drink|earth|suppose|bet|parent|everything|github|answer|query|address)$)
46,how2use,(^(toddler|enough|earth|bottom|shoe|potato|differ|fast|limitation|seem|brick|load|urge|direct|sentence|worry|cryptic|style|favour)(?![\w])|(?<=[\W_])(toddler|enough|earth|bottom|shoe|potato|differ|fast|limitation|seem|brick|load|urge|direct|sentence|worry|cryptic|style|favour)(?![\w])|(?<=[\W_])(toddler|enough|earth|bottom|shoe|potato|differ|fast|limitation|seem|brick|load|urge|direct|sentence|worry|cryptic|style|favour)$|^(toddler|enough|earth|bottom|shoe|potato|differ|fast|limitation|seem|brick|load|urge|direct|sentence|worry|cryptic|style|favour)$)
47,how2acquire,(^(cut|arrive|sort|agreement|entrust|address|description|matter|discuss|deliver|ask|detail)(?![\w])|(?<=[\W_])(cut|arrive|sort|agreement|entrust|address|description|matter|discuss|deliver|ask|detail)(?![\w])|(?<=[\W_])(cut|arrive|sort|agreement|entrust|address|description|matter|discuss|deliver|ask|detail)$|^(cut|arrive|sort|agreement|entrust|address|description|matter|discuss|deliver|ask|detail)$)
48,elaborate_request,(^(sorry|elaborate|design|imagination|enough|wild|overstretched|imagination|suppose|healthy|something|hope)(?![\w])|(?<=[\W_])(sorry|elaborate|design|imagination|enough|wild|overstretched|imagination|suppose|healthy|something|hope)(?![\w])|(?<=[\W_])(sorry|elaborate|design|imagination|enough|wild|overstretched|imagination|suppose|healthy|something|hope)$|^(sorry|elaborate|design|imagination|enough|wild|overstretched|imagination|suppose|healthy|something|hope)$)
49,suggestion,(^(suggestion|forward|worth|precious|endow|gear|gage|merit|contact|detail|address)(?![\w])|(?<=[\W_])(suggestion|forward|worth|precious|endow|gear|gage|merit|contact|detail|address)(?![\w])|(?<=[\W_])(suggestion|forward|worth|precious|endow|gear|gage|merit|contact|detail|address)$|^(suggestion|forward|worth|precious|endow|gear|gage|merit|contact|detail|address)$)
50,complaint,(^(sorry|expectation|hard|form|expectation|fall|saying|vie)(?![\w])|(?<=[\W_])(sorry|expectation|hard|form|expectation|fall|saying|vie)(?![\w])|(?<=[\W_])(sorry|expectation|hard|form|expectation|fall|saying|vie)$|^(sorry|expectation|hard|form|expectation|fall|saying|vie)$)
